Name,Type,Cat.,Power,Acc.,PP,Effect,Prob. (%)
Sacred Sword,Fighting,Physical,90,100,15,Ignores opponent's stat changes.,Null
Safeguard,Normal,Status,Null,Null,25,The user's party is protected from status conditions.,Null
Salt Cure,Rock,Physical,40,100,15,Deals damage each turn; Steel and Water types are more affected.,Null
Sand Attack,Ground,Status,Null,100,15,Lowers opponent's Accuracy.,Null
Sand Tomb,Ground,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Sandsear Storm,Ground,Special,100,80,10,May burn target.,Null
Sandstorm,Rock,Status,Null,Null,10,Creates a sandstorm for 5 turns.,Null
Sappy Seed,Grass,Physical,90,100,15,Drains HP from opponent each turn.,100
Savage Spin-Out,Bug,Null,Null,Null,1,Bug type Z-Move.,Null
Scald,Water,Special,80,100,15,May burn opponent.,30
Scale Shot,Dragon,Physical,25,90,20,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,Null
Scary Face,Normal,Status,Null,100,10,Sharply lowers opponent's Speed.,Null
Scorching Sands,Ground,Special,70,100,10,May burn the target.,Null
Scratch,Normal,Physical,40,100,35,,Null
Screech,Normal,Status,Null,85,40,Sharply lowers opponent's Defense.,Null
Searing Shot,Fire,Special,100,100,5,May burn opponent.,30
Searing Sunraze Smash,Steel,Physical,200,Null,1,Solgaleo-exclusive Z-Move.,Null
Secret Power,Normal,Physical,70,100,20,Effects of the attack vary with the location.,30
Secret Sword,Fighting,Special,85,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",Null
Seed Bomb,Grass,Physical,80,100,15,,Null
Seed Flare,Grass,Special,120,85,5,May lower opponent's Special Defense.,40
Seismic Toss,Fighting,Physical,Null,100,20,Inflicts damage equal to user's level.,Null
Self-Destruct,Normal,Physical,200,100,5,User faints.,Null
Shadow Ball,Ghost,Special,80,100,15,May lower opponent's Special Defense.,20
Shadow Bone,Ghost,Physical,85,100,10,May lower opponent's Defense.,20
Shadow Claw,Ghost,Physical,70,100,15,High critical hit ratio.,Null
Shadow Force,Ghost,Physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",Null
Shadow Punch,Ghost,Physical,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Shadow Sneak,Ghost,Physical,40,100,30,User attacks first.,Null
Sharpen,Normal,Status,Null,Null,30,Raises user's Attack.,Null
Shattered Psyche,Psychic,Null,Null,Null,1,Psychic type Z-Move.,Null
Shed Tail,Normal,Status,Null,Null,10,"Creates a substitute, then swaps places with a party Pokémon in waiting.",Null
Sheer Cold,Ice,Special,Null,30,5,"One-Hit-KO, if it hits.",Null
Shell Side Arm,Poison,Special,90,100,10,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",Null
Shell Smash,Normal,Status,Null,Null,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",Null
Shell Trap,Fire,Special,150,100,5,Deals more damage to opponent if hit by a Physical move.,Null
Shelter,Steel,Status,Null,Null,10,Raises user's Defense.,Null
Shift Gear,Steel,Status,Null,Null,10,Raises user's Attack and sharply raises Speed.,Null
Shock Wave,Electric,Special,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Shore Up,Ground,Status,Null,Null,5,The user regains up to half of its max HP. It restores more HP in a sandstorm.,Null
Signal Beam,Bug,Special,75,100,15,May confuse opponent.,10
Silk Trap,Bug,Status,Null,Null,10,Protects the user and lowers opponent's Speed on contact.,Null
Silver Wind,Bug,Special,60,100,5,May raise all stats of user at once.,10
Simple Beam,Normal,Status,Null,100,15,Changes target's ability to Simple.,Null
Sing,Normal,Status,Null,55,15,Puts opponent to sleep.,Null
Sinister Arrow Raid,Ghost,Physical,180,Null,1,Decidueye-exclusive Z-Move.,Null
Sizzly Slide,Fire,Physical,90,100,15,Burns the opponent.,100
Sketch,Normal,Status,Null,Null,1,Permanently copies the opponent's last move.,Null
Skill Swap,Psychic,Status,Null,Null,10,The user swaps Abilities with the opponent.,Null
Skitter Smack,Bug,Physical,70,90,10,Lowers opponent's Sp. Attack.,Null
Skull Bash,Normal,Physical,130,100,10,"Raises Defense on first turn, attacks on second.",100
Sky Attack,Flying,Physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30
Sky Drop,Flying,Physical,60,100,10,"Takes opponent into the air on first turn, drops them on second turn.",Null
Sky Uppercut,Fighting,Physical,85,90,15,"Hits the opponent, even during Fly.",Null
Slack Off,Normal,Status,Null,Null,5,User recovers half its max HP.,Null
Slam,Normal,Physical,80,75,20,,Null
Slash,Normal,Physical,70,100,20,High critical hit ratio.,Null
Sleep Powder,Grass,Status,Null,75,15,Puts opponent to sleep.,Null
Sleep Talk,Normal,Status,Null,Null,10,User performs one of its own moves while sleeping.,Null
Sludge,Poison,Special,65,100,20,May poison opponent.,30
Sludge Bomb,Poison,Special,90,100,10,May poison opponent.,30
Sludge Wave,Poison,Special,95,100,10,May poison opponent.,10
Smack Down,Rock,Physical,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.,100
Smart Strike,Steel,Physical,70,Null,10,The user stabs the target with a sharp horn. This attack never misses.,Null
Smelling Salts,Normal,Physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it.",Null
Smog,Poison,Special,30,70,20,May poison opponent.,40
Smokescreen,Normal,Status,Null,100,20,Lowers opponent's Accuracy.,Null
Snap Trap,Grass,Physical,35,100,15,"Traps opponent, damaging them for 4-5 turns.",100
Snarl,Dark,Special,55,95,15,Lowers opponent's Special Attack.,100
Snatch,Dark,Status,Null,Null,10,Steals the effects of the opponent's next move.,Null
Snipe Shot,Water,Special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.,Null
Snore,Normal,Special,50,100,15,Can only be used if asleep. May cause flinching.,30
Snowscape,Ice,Status,Null,Null,10,Raises Defense of Ice types for 5 turns.,Null
Soak,Water,Status,Null,100,20,Changes the target's type to water.,Null
Soft-Boiled,Normal,Status,Null,Null,5,User recovers half its max HP.,Null
Solar Beam,Grass,Special,120,100,10,"Charges on first turn, attacks on second.",Null
Solar Blade,Grass,Physical,125,100,10,"Charges on first turn, attacks on second.",Null
Sonic Boom,Normal,Special,Null,90,20,Always inflicts 20 HP.,Null
Soul-Stealing 7-Star Strike,Ghost,Physical,195,Null,1,Marshadow-exclusive Z-Move.,Null
Spacial Rend,Dragon,Special,100,95,5,High critical hit ratio.,Null
Spark,Electric,Physical,65,100,20,May paralyze opponent.,30
Sparkling Aria,Water,Special,90,100,10,Heals the burns of its target.,Null
Sparkly Swirl,Fairy,Special,90,100,15,Cures all status problems in the party Pokémon.,Null
Spectral Thief,Ghost,Physical,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",Null
Speed Swap,Psychic,Status,Null,Null,10,The user exchanges Speed stats with the target.,Null
Spicy Extract,Grass,Status,Null,Infinite,15,Harshly lowers the opponent's Defense and sharply raises their Attack.,Null
Spider Web,Bug,Status,Null,Null,10,Opponent cannot escape/switch.,Null
Spike Cannon,Normal,Physical,20,100,15,Hits 2-5 times in one turn.,Null
Spikes,Ground,Status,Null,Null,20,Damages opponents switching into battle.,Null
Spiky Shield,Grass,Status,Null,Null,10,Protects the user and inflicts damage on contact.,Null
Spin Out,Steel,Physical,100,100,5,Harshly lowers user’s Speed.,Null
Spirit Break,Fairy,Physical,75,100,15,Lowers opponent's Special Attack.,100
Spirit Shackle,Ghost,Physical,80,100,10,Prevents the opponent from switching out.,Null
Spit Up,Normal,Special,Null,100,10,Power depends on how many times the user performed Stockpile.,Null
Spite,Ghost,Status,Null,100,10,The opponent's last move loses 2-5 PP.,Null
Splash,Normal,Status,Null,Null,40,Doesn't do ANYTHING.,Null
Splintered Stormshards,Rock,Physical,190,Null,1,Lycanroc-exclusive Z-Move.,Null
Splishy Splash,Water,Special,90,100,15,May paralyze opponent.,30
Spore,Grass,Status,Null,100,15,Puts opponent to sleep.,Null
Spotlight,Normal,Status,Null,Null,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.,Null
Springtide Storm,Fairy,Special,100,80,5,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",Null
Stealth Rock,Rock,Status,Null,Null,20,Damages opponents switching into battle.,Null
Steam Eruption,Water,Special,110,95,5,May burn opponent.,30
Steamroller,Bug,Physical,65,100,20,May cause flinching.,30
Steel Beam,Steel,Special,140,95,5,User loses 50% of its HP.,Null
Steel Roller,Steel,Physical,130,100,5,Fails if no Terrain in effect.,Null
Steel Wing,Steel,Physical,70,90,25,May raise user's Defense.,10
Sticky Web,Bug,Status,Null,Null,20,Lowers opponent's Speed when switching into battle.,Null
Stockpile,Normal,Status,Null,Null,20,Stores energy for use with Spit Up and Swallow.,Null
Stoked Sparksurfer,Electric,Special,175,Null,1,Alolan Raichu-exclusive Electric type Z-Move.,100
Stomp,Normal,Physical,65,100,20,May cause flinching.,30
Stomping Tantrum,Ground,Physical,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",Null
Stone Axe,Rock,Physical,65,90,15,Sets up Stealth Rock.,Null
Stone Edge,Rock,Physical,100,80,5,High critical hit ratio.,Null
Stored Power,Psychic,Special,20,100,10,Power increases when user's stats have been raised.,Null
Storm Throw,Fighting,Physical,60,100,10,Always results in a critical hit.,100
Strange Steam,Fairy,Special,90,95,10,May confuse opponent.,20
Strength,Normal,Physical,80,100,15,,Null
Strength Sap,Grass,Status,Null,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
String Shot,Bug,Status,Null,95,40,Sharply lowers opponent's Speed.,Null
Struggle,Normal,Physical,50,Null,Null,Only usable when all PP are gone. Hurts the user.,Null
Struggle Bug,Bug,Special,50,100,20,Lowers opponent's Special Attack.,100
Stuff Cheeks,Normal,Status,Null,Null,10,"The user eats its held Berry, then sharply raises its Defense stat.",100
Stun Spore,Grass,Status,Null,75,30,Paralyzes opponent.,Null
Submission,Fighting,Physical,80,80,20,User receives recoil damage.,Null
Substitute,Normal,Status,Null,Null,10,Uses HP to creates a decoy that takes hits.,Null
Subzero Slammer,Ice,Null,Null,Null,1,Ice type Z-Move.,Null
Sucker Punch,Dark,Physical,70,100,5,"User attacks first, but only works if opponent is readying an attack.",Null
Sunny Day,Fire,Status,Null,Null,5,Makes it sunny for 5 turns.,Null
Sunsteel Strike,Steel,Physical,100,100,5,Ignores the target's ability.,Null
Super Fang,Normal,Physical,Null,90,10,Always takes off half of the opponent's HP.,Null
Supercell Slam,Electric,Physical,100,95,15,,Null
Superpower,Fighting,Physical,120,100,5,Lowers user's Attack and Defense.,100
Supersonic,Normal,Status,Null,55,20,Confuses opponent.,Null
Supersonic Skystrike,Flying,Null,Null,Null,1,Flying type Z-Move.,Null
Surf,Water,Special,90,100,15,Hits all adjacent Pokémon.,Null
Surging Strikes,Water,Physical,25,100,5,Always results in a critical hit and ignores stat changes.,Null
Swagger,Normal,Status,Null,85,15,"Confuses opponent, but sharply raises its Attack.",Null
Swallow,Normal,Status,Null,Null,10,"The more times the user has performed Stockpile, the more HP is recovered.",Null
Sweet Kiss,Fairy,Status,Null,75,10,Confuses opponent.,Null
Sweet Scent,Normal,Status,Null,100,20,Lowers opponent's Evasiveness.,Null
Swift,Normal,Special,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Switcheroo,Dark,Status,Null,100,10,Swaps held items with the opponent.,Null
Swords Dance,Normal,Status,Null,Null,20,Sharply raises user's Attack.,Null
Synchronoise,Psychic,Special,120,100,10,Hits any Pokémon that shares a type with the user.,Null
Synthesis,Grass,Status,Null,Null,5,User recovers HP. Amount varies with the weather.,Null
Syrup Bomb,Grass,Special,60,85,10,Lowers opponent's Speed each turn for 3 turns.,Null
Tachyon Cutter,Steel,Special,50,Infinite,10,Guaranteed to hit twice in a row.,Null
Tackle,Normal,Physical,40,100,35,,Null
Tail Glow,Bug,Status,Null,Null,20,Drastically raises user's Special Attack.,Null
Tail Slap,Normal,Physical,25,85,10,Hits 2-5 times in one turn.,Null
Tail Whip,Normal,Status,Null,100,30,Lowers opponent's Defense.,Null
Tailwind,Flying,Status,Null,Null,15,Doubles Speed for 4 turns.,Null
Take Down,Normal,Physical,90,85,20,User receives recoil damage.,Null
Take Heart,Psychic,Status,Null,Null,10,Heals user's status conditions and raises its stats.,Null
Tar Shot,Rock,Status,Null,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
Taunt,Dark,Status,Null,100,20,Opponent can only use moves that attack.,Null
Tearful Look,Normal,Status,Null,Null,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
Teatime,Normal,Status,Null,Null,10,Forces all Pokémon on the field to eat their berries.,Null
Techno Blast,Normal,Special,120,100,5,Type depends on the Drive being held.,Null
Tectonic Rage,Ground,Null,Null,Null,1,Ground type Z-Move.,Null
Teeter Dance,Normal,Status,Null,100,20,Confuses all Pokémon.,Null
Telekinesis,Psychic,Status,Null,Null,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",Null
Teleport,Psychic,Status,Null,Null,20,Allows user to flee wild battles; also warps player to last PokéCenter.,Null
Temper Flare,Fire,Physical,75,100,10,,Null
Tera Blast,Normal,Special,80,100,10,Changes type when the user has Terastallized.,Null
Tera Starstorm,Normal,Special,120,100,5,,Null
Terrain Pulse,Normal,Special,50,100,10,Type and power change depending on the Terrain in effect.,Null
Thief,Dark,Physical,60,100,25,Also steals opponent's held item.,Null
Thousand Arrows,Ground,Physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.,Null
Thousand Waves,Ground,Physical,90,100,10,Opponent cannot flee or switch.,Null
Thrash,Normal,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,Null
Throat Chop,Dark,Physical,80,100,15,Prevents use of sound moves for two turns.,100
Thunder,Electric,Special,110,70,10,May paralyze opponent.,30
Thunder Cage,Electric,Special,80,90,15,"Deals damage and traps opponent, damaging them for 4-5 turns.",Null
Thunder Fang,Electric,Physical,65,95,15,May cause flinching and/or paralyze opponent.,10
Thunder Punch,Electric,Physical,75,100,15,May paralyze opponent.,10
Thunder Shock,Electric,Special,40,100,30,May paralyze opponent.,10
Thunder Wave,Electric,Status,Null,90,20,Paralyzes opponent.,Null
Thunderbolt,Electric,Special,90,100,15,May paralyze opponent.,10
Thunderclap,Electric,Special,70,100,5,Strikes before a target's move.,Null
Thunderous Kick,Fighting,Physical,90,100,10,Lowers opponent's Defense.,100
Tickle,Normal,Status,Null,100,20,Lowers opponent's Attack and Defense.,Null
Tidy Up,Normal,Status,Null,Null,10,"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.",Null
Topsy-Turvy,Dark,Status,Null,Null,20,Reverses stat changes of opponent.,Null
Torch Song,Fire,Special,80,100,10,Raises user's Special Attack.,Null
Torment,Dark,Status,Null,100,15,Opponent cannot use the same move in a row.,Null
Toxic,Poison,Status,Null,90,10,Badly poisons opponent.,Null
Toxic Spikes,Poison,Status,Null,Null,20,Poisons opponents switching into battle.,Null
Toxic Thread,Poison,Status,Null,100,20,Poisons opponent and lowers its Speed.,100
Trailblaze,Grass,Physical,50,100,20,Raises user's Speed.,Null
Transform,Normal,Status,Null,Null,10,User takes on the form and attacks of the opponent.,Null
Tri Attack,Normal,Special,80,100,10,"May paralyze, burn or freeze opponent.",20
Trick,Psychic,Status,Null,100,10,Swaps held items with the opponent.,Null
Trick Room,Psychic,Status,Null,Null,5,Slower Pokémon move first in the turn for 5 turns.,Null
Trick-or-Treat,Ghost,Status,Null,100,20,Adds Ghost type to opponent.,Null
Triple Arrows,Fighting,Physical,90,100,10,High critical hit ratio. May lower opponent's Defense or cause them to flinch.,Null
Triple Axel,Ice,Physical,20,90,10,Attacks thrice with more power each time.,Null
Triple Dive,Water,Physical,30,95,10,Hits 3 times in a row.,Null
Triple Kick,Fighting,Physical,10,90,10,Hits thrice in one turn at increasing power.,Null
Trop Kick,Grass,Physical,70,100,15,Lowers opponent's Attack.,100
Trump Card,Normal,Special,Null,Infinite,5,"The lower the PP, the higher the power.",Null
Twin Beam,Psychic,Special,40,100,10,Hits twice in one turn.,Null
Twineedle,Bug,Physical,25,100,20,Hits twice in one turn. May poison opponent.,20
Twinkle Tackle,Fairy,Null,Null,Null,1,Fairy type Z-Move.,Null
Twister,Dragon,Special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U-turn,Bug,Physical,70,100,20,User switches out immediately after attacking.,Null
Upper Hand,Fighting,Physical,65,100,15,Strikes before a target's priority move.,Null
Uproar,Normal,Special,90,100,10,User attacks for 3 turns and prevents sleep.,Null
V-create,Fire,Physical,180,95,5,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,Fighting,Special,40,100,30,User attacks first.,Null
Veevee Volley,Normal,Physical,Null,Infinite,20,Power increases when player's bond is stronger.,Null
Venom Drench,Poison,Status,Null,100,20,Lowers poisoned opponent's Special Attack and Speed.,100
Venoshock,Poison,Special,65,100,10,Inflicts double damage if the target is poisoned.,Null
Victory Dance,Fighting,Status,Null,Null,10,Raises Attack and Defense.,Null
Vine Whip,Grass,Physical,45,100,25,,Null
Vise Grip,Normal,Physical,55,100,30,,Null
Vital Throw,Fighting,Physical,70,Infinite,10,"User attacks last, but ignores Accuracy and Evasiveness.",Null
Volt Switch,Electric,Special,70,100,20,User must switch out after attacking.,Null
Volt Tackle,Electric,Physical,120,100,15,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,Fighting,Physical,70,100,10,"Power doubles if opponent is asleep, but wakes it up.",Null
Water Gun,Water,Special,40,100,25,,Null
Water Pledge,Water,Special,80,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,Null
Water Pulse,Water,Special,60,100,20,May confuse opponent.,20
Water Shuriken,Water,Special,15,100,20,Hits 2-5 times in one turn.,Null
Water Sport,Water,Status,Null,Null,15,Weakens the power of Fire-type moves.,Null
Water Spout,Water,Special,150,100,5,"The higher the user's HP, the higher the damage caused.",Null
Waterfall,Water,Physical,80,100,15,May cause flinching.,20
Wave Crash,Water,Physical,120,100,10,User receives recoil damage.,Null
Weather Ball,Normal,Special,50,100,10,Move's power and type changes with the weather.,Null
Whirlpool,Water,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Whirlwind,Normal,Status,Null,Null,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",Null
Wicked Blow,Dark,Physical,75,100,5,Always results in a critical hit and ignores stat changes.,Null
Wicked Torque,Dark,Physical,80,100,10,May put opponent to sleep.,Null
Wide Guard,Rock,Status,Null,Null,10,Protects the user's team from multi-target attacks.,Null
Wild Charge,Electric,Physical,90,100,15,User receives recoil damage.,Null
Wildbolt Storm,Electric,Special,100,80,10,May paralyze target.,Null
Will-O-Wisp,Fire,Status,Null,85,15,Burns opponent.,Null
Wing Attack,Flying,Physical,60,100,35,,Null
Wish,Normal,Status,Null,Null,10,The user recovers HP in the following turn.,Null
Withdraw,Water,Status,Null,Null,40,Raises user's Defense.,Null
Wonder Room,Psychic,Status,Null,Null,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.,Null
Wood Hammer,Grass,Physical,120,100,15,User receives recoil damage.,Null
Work Up,Normal,Status,Null,Null,30,Raises user's Attack and Special Attack.,Null
Worry Seed,Grass,Status,Null,100,10,Changes the opponent's Ability to Insomnia.,Null
Wrap,Normal,Physical,15,90,20,"Traps opponent, damaging them for 4-5 turns.",100
Wring Out,Normal,Special,Null,100,5,"The higher the opponent's HP, the higher the damage.",Null
X-Scissor,Bug,Physical,80,100,15,,Null
Yawn,Normal,Status,Null,Null,10,Puts opponent to sleep in the next turn.,Null
Zap Cannon,Electric,Special,120,50,5,Paralyzes opponent.,100
Zen Headbutt,Psychic,Physical,80,90,15,May cause flinching.,20
Zing Zap,Electric,Physical,80,100,10,May cause flinching.,30
Zippy Zap,Electric,Physical,50,100,15,Always results in a critical hit.,100
